"","Var1","Freq"
"742","1370000",1
"743","1460000",1
"744","1490000",1
"745","1510000",1
"746","1530000",1
"747","1540000",1
"748","1590000",1
"749","1610000",1
"750","1650000",1
"751","1690000",1
"752","1720000",1
"753","1740000",1
"754","1760000",1
"755","1780000",1
"756","1790000",1
"757","1810000",1
"758","1820000",1
"759","1840000",1
"760","1880000",1
"761","1920000",1
"762","2010000",1
"763","2050000",1
"764","2190000",1
"765","2220000",1
"766","2270000",1
"767","2320000",1
"768","2330000",1
"769","2350000",1
"770","2410000",1
"771","2450000",1
"772","2460000",1
"773","2480000",1
"774","2520000",1
"775","2530000",1
"776","2730000",1
"777","2770000",1
"778","2810000",1
"779","2820000",1
"780","3020000",1
"781","3240000",1
"782","3280000",1
"783","3310000",1
"784","3370000",1
"785","3430000",1
"786","3450000",1
"787","3530000",1
"788","3540000",1
"789","3550000",1
"790","3570000",1
"791","3640000",1
"792","3680000",1
"793","3720000",1
"794","3740000",1
"795","3750000",1
"796","3830000",1
"797","3960000",1
"798","4120000",1
"799","4150000",1
"800","4220000",1
"801","4260000",1
"802","4380000",1
"803","4430000",1
"804","4450000",1
"805","4520000",1
"806","4570000",1
"807","4600000",1
"808","4650000",1
"809","4700000",1
"810","4710000",1
"811","4740000",1
"812","4860000",1
"813","5080000",1
"814","5090000",1
"815","5200000",1
"816","5240000",1
"817","5250000",1
"818","5380000",1
"819","5420000",1
"820","5510000",1
"821","5550000",1
"822","5580000",1
"823","5740000",1
"824","5750000",1
"825","5760000",1
"826","5900000",1
"827","5940000",1
"828","6050000",1
"829","6250000",1
"830","6300000",1
"831","6320000",1
"832","6450000",1
"833","6550000",1
"834","6670000",1
"835","6680000",1
"836","6700000",1
"837","6800000",1
"838","6820000",1
"839","7510000",1
"840","7550000",1
"841","7700000",1
"842","7720000",1
"843","7800000",1
"844","8090000",1
"845","8370000",1
"846","8400000",1
"847","8430000",1
"848","8450000",1
"849","8600000",1
"850","8650000",1
"851","8850000",1
"852","8870000",1
"853","9170000",1
"854","9250000",1
"855","9310000",1
"856","9510000",1
"857","9760000",1
"858","9800000",1
"859","10050000",1
"860","10300000",1
"861","10360000",1
"862","10720000",1
"863","11020000",1
"864","11150000",1
"865","11160000",1
"866","11180000",1
"867","11850000",1
"868","12050000",1
"869","12200000",1
"870","12600000",1
"871","12710000",1
"872","12900000",1
"873","13360000",1
"874","13400000",1
"875","13470000",1
"876","13500000",1
"877","13530000",1
"878","13800000",1
"879","13900000",1
"880","13950000",1
"881","14260000",1
"882","14280000",1
"883","14700000",1
"884","14960000",1
"885","14980000",1
"886","15500000",1
"887","16100000",1
"888","16500000",1
"889","16600000",1
"890","16740000",1
"891","16870000",1
"892","16900000",1
"893","16960000",1
"894","17140000",1
"895","17700000",1
"896","17800000",1
"897","17900000",1
"898","18050000",1
"899","18540000",1
"900","18800000",1
"901","18970000",1
"902","19640000",1
"903","19790000",1
"904","20020000",1
"905","20100000",1
"906","20800000",1
"907","21100000",1
"908","21200000",1
"909","21500000",1
"910","21880000",1
"911","22140000",1
"912","22180000",1
"913","23500000",1
"914","23550000",1
"915","25130000",1
"916","25520000",1
"917","26200000",1
"918","26300000",1
"919","26500000",1
"920","26870000",1
"921","27500000",1
"922","28550000",1
"923","29700000",1
"924","30060000",1
"925","30300000",1
"926","31520000",1
"927","32200000",1
"928","32220000",1
"929","3.3e+07",1
"930","33500000",1
"931","35900000",1
"932","3.7e+07",1
"933","3.8e+07",1
"934","39500000",1
"935","41600000",1
"936","42310000",1
"937","4.3e+07",1
"938","4.4e+07",1
"939","44600000",1
"940","44700000",1
"941","44720000",1
"942","45070000",1
"943","45500000",1
"944","45700000",1
"945","4.6e+07",1
"946","46500000",1
"947","4.7e+07",1
"948","48020000",1
"949","4.9e+07",1
"950","5.1e+07",1
"951","5.2e+07",1
"952","5.3e+07",1
"953","5.4e+07",1
"954","5.5e+07",1
"955","55080000",1
"956","55100000",1
"957","55220000",1
"958","56500000",1
"959","60500000",1
"960","6.1e+07",1
"961","61980000",1
"962","6.4e+07",1
"963","7.1e+07",1
"964","7.2e+07",1
"965","72700000",1
"966","74250000",1
"967","76600000",1
"968","7.8e+07",1
"969","78700000",1
"970","8.2e+07",1
"971","87800000",1
"972","9.1e+07",1
"973","9.6e+07",1
"974","9.9e+07",1
"975","99390000",1
"976","1.02e+08",1
"977","1.05e+08",1
"978","1.06e+08",1
"979","108630000",1
"980","1.09e+08",1
"981","1.14e+08",1
"982","1.23e+08",1
"983","127200000",1
"984","1.28e+08",1
"985","134800000",1
"986","1.35e+08",1
"987","1.4e+08",1
"988","140250000",1
"989","146500000",1
"990","149580000",1
"991","1.6e+08",1
"992","1.61e+08",1
"993","161110000",1
"994","1.65e+08",1
"995","166500000",1
"996","1.7e+08",1
"997","174160000",1
"998","1.75e+08",1
"999","179400000",1
"1000","1.8e+08",1
"1001","2.1e+08",1
"1002","2.3e+08",1
"1003","2.55e+08",1
"1004","2.62e+08",1
"1005","2.68e+08",1
"1006","278600000",1
"1007","287180000",1
"1008","3.04e+08",1
"1009","3.3e+08",1
"1010","3.58e+08",1
"1011","3.6e+08",1
"1012","3.67e+08",1
"1013","3.68e+08",1
"1014","410620000",1
"1015","5.1e+08",1
"1016","530470000",1
"1017","6e+08",1
"1018","6.02e+08",1
"1019","6.4e+08",1
"1020","645150000",1
"1021","696400000",1
"1022","7.02e+08",1
"1023","792150000",1
"1024","9.29e+08",1
"1025","1e+09",1
"1026","1.04e+09",1
"1027","1.3e+09",1
"1028","1.7e+09",1
"1029","5e+09",1
"1030","5.15e+09",1
